Voltage (V),Capacity (mAh/g),Li,Voltage (V),Capacity (mAh/g),Li,Voltage (V),Capacity (mAh/g),Li,Voltage (V),Capacity (mAh/g),Li,Voltage (V),Capacity (mAh/g),Li,Voltage (V),Capacity (mAh/g),Li,Voltage (V),Capacity (mAh/g),Li,Voltage (V),Capacity (mAh/g),Li
1C,,,1D,,,2C,,,2D,,,5C,,,5D,,,10C,,,10D,,
3.777376099,0.25010803,0.999095123,4.476403198,0.250034958,0.107727649,3.626623535,0.250104195,0.905070394,4.457138672,0.250031447,0.12756532,3.636102905,0.250100928,0.910845682,4.38772522,0.250030747,0.166870376,3.667293091,0.250091431,0.918473965,4.298435669,0.250021331,0.221932556
3.742516479,0.500215817,0.998190247,4.469981689,0.500069611,0.108632261,3.628764038,0.500209029,0.904165528,4.451634521,0.500061676,0.128469916,3.638243408,0.500203134,0.909940826,4.381303711,0.500062508,0.167774978,3.669127808,0.50018409,0.917569143,4.290485229,0.500042663,0.222837119
3.728756104,0.750324496,0.997285367,4.467229614,0.750103148,0.109536868,3.630292969,0.750314259,0.903260661,4.44857666,0.750092616,0.129374514,3.639466553,0.750305208,0.909035971,4.377940063,0.750093935,0.168679578,3.670045166,0.750275784,0.916664325,4.28651001,0.750063994,0.223741683
3.722028809,1.000432445,0.99638049,4.465089111,1.000135528,0.110441472,3.630292969,1.000419123,0.902355796,4.446130371,1.00012319,0.130279111,3.639772339,1.000406897,0.908131117,4.374882202,1.000125575,0.169584178,3.670350952,1.000367804,0.915759506,4.283452148,1.000085325,0.224646246
3.718359375,1.250539836,0.995475616,4.462948608,1.2501687,0.111346078,3.629069824,1.250523825,0.90145093,4.444295654,1.250153866,0.131183708,3.640383911,1.250508089,0.907226264,4.372435913,1.250158351,0.170488783,3.671268311,1.250460635,0.914854684,4.281005859,1.250137095,0.22555092
3.716218872,1.500647704,0.994570739,4.461725464,1.500202704,0.112250687,3.629069824,1.500628923,0.900546064,4.441849365,1.50018437,0.132088305,3.640383911,1.500610457,0.906321408,4.369989624,1.500190031,0.171393384,3.671268311,1.500552198,0.913949867,4.278865356,1.500158426,0.226455483
3.714384155,1.750756403,0.99366586,4.459890747,1.750236231,0.113155295,3.628152466,1.750733747,0.899641198,4.440014648,1.75021604,0.132992906,3.640383911,1.75071315,0.90541655,4.366931763,1.750221681,0.172297985,3.671879883,1.750644035,0.913045048,4.27703064,1.750179757,0.227360047
3.713466797,2.000863794,0.992760985,4.458361816,2.000269768,0.114059902,3.62784668,2.000838469,0.898736333,4.437568359,2.00024701,0.133897504,3.640383911,2.000814606,0.904511696,4.364485474,2.000253067,0.173202585,3.671879883,2.000737383,0.912140224,4.275195923,2.000216308,0.228264665
3.712243652,2.25097154,0.991856109,4.455915527,2.250303406,0.11496451,3.627235107,2.250942887,0.897831469,4.435427856,2.250278132,0.134802103,3.640383911,2.250916112,0.903606843,4.361427612,2.250284565,0.174107185,3.671574097,2.250829332,0.911235405,4.272749634,2.250237639,0.229169228
3.712243652,2.501080037,0.99095123,4.453775024,2.500337339,0.115869119,3.626929321,2.501047772,0.896926604,4.433287354,2.500308625,0.135706699,3.640383911,2.501019211,0.902701984,4.359592896,2.500315048,0.175011781,3.671879883,2.50092196,0.910330584,4.270914917,2.50025897,0.230073792
3.711937866,2.751188645,0.990046351,4.452246094,2.750371586,0.116773729,3.627235107,2.751151764,0.896021741,4.430229492,2.750339159,0.136611296,3.640383911,2.751121569,0.901797127,4.35684082,2.750346495,0.175916381,3.671574097,2.751014,0.909425764,4.2690802,2.750280301,0.230978355
3.711937866,3.001297619,0.98914147,4.449799805,3.000405286,0.117678338,3.626929321,3.001256639,0.895116875,4.427783203,3.000370221,0.137515895,3.640383911,3.00122341,0.900892272,4.353782959,3.000378104,0.176820982,3.671879883,3.001106405,0.908520944,4.26755127,3.000301633,0.231882919
3.711937866,3.251405487,0.988236594,4.447047729,3.250438437,0.118582944,3.627235107,3.251361797,0.894212009,4.424725342,3.250399821,0.138420488,3.640689697,3.25132584,0.899987416,4.350725098,3.250409967,0.177725583,3.671879883,3.251198617,0.907616124,4.26510498,3.250322964,0.232787482
3.711937866,3.501514156,0.987331714,4.444907227,3.500472877,0.119487555,3.627235107,3.501466997,0.893307142,4.42166748,3.500429249,0.139325081,3.640689697,3.501428492,0.899082558,4.347973022,3.500442175,0.178630186,3.671879883,3.501291245,0.906711303,4.26357605,3.500344295,0.233692046
3.71163208,3.751622734,0.986426835,4.441849365,3.750506181,0.120392161,3.627235107,3.751572521,0.892402274,4.418609619,3.750459631,0.140229677,3.640689697,3.751530962,0.898177701,4.344915161,3.750473084,0.179534784,3.671879883,3.751385365,0.905806476,4.262047119,3.750350407,0.234596554
3.711937866,4.00173187,0.985521954,4.43909729,4.000540266,0.121296771,3.627235107,4.001679567,0.8914974,4.415245972,4.000490895,0.141134276,3.640689697,4.001633158,0.897272845,4.341551514,4.000504278,0.180439383,3.671879883,4.001477628,0.904901656,4.260212402,4.000371739,0.235501117
3.712549438,4.251840489,0.984617075,4.436039429,4.250574554,0.122201381,3.627540894,4.251784533,0.890592534,4.411576538,4.250522342,0.142038876,3.640995483,4.251735273,0.896367989,4.338799438,4.250535217,0.181343982,3.672185669,4.251571271,0.903996831,4.258377686,4.250408289,0.236405736
3.712549438,4.5019486,0.983712198,4.432981567,4.500609024,0.123105992,3.62784668,4.50188963,0.889687668,4.408518677,4.500554154,0.142943478,3.640995483,4.501837033,0.895463135,4.336047363,4.50056636,0.182248581,3.671879883,4.501665644,0.903092003,4.256542969,4.50042962,0.237310299
3.713161011,4.752056955,0.982807319,4.429923706,4.750643546,0.124010603,3.627540894,4.751995094,0.8887828,4.404849243,4.750585621,0.143848078,3.64130127,4.751939685,0.894558277,4.332683716,4.750596265,0.183153175,3.671879883,4.751760088,0.902187175,4.25409668,4.750450952,0.238214863
3.713161011,5.00216534,0.981902441,4.426560059,5.000677864,0.124915214,3.628152466,5.002100323,0.887877933,4.40117981,5.00061787,0.144752681,3.641607056,5.002042754,0.893653418,4.329625854,5.000626961,0.184057772,3.672185669,5.001854097,0.901282349,4.252261963,5.000487502,0.239119481
3.713466797,5.252273471,0.980997563,4.423502197,5.250711807,0.125819823,3.628152466,5.252204914,0.886973068,4.39720459,5.25064951,0.145657282,3.641912842,5.252144321,0.892748564,4.326262207,5.250658154,0.184962371,3.672185669,5.251948795,0.90037752,4.250733032,5.250524053,0.2400241
