Voltage (V),Capacity (mAh/g),Li,Voltage (V),Capacity (mAh/g),Li,Voltage (V),Capacity (mAh/g),Li,Voltage (V),Capacity (mAh/g),Li,Voltage (V),Capacity (mAh/g),Li,Voltage (V),Capacity (mAh/g),Li,Voltage (V),Capacity (mAh/g),Li,Voltage (V),Capacity (mAh/g),Li
1C,,,1D,,,2C,,,2D,,,5C,,,5D,,,10C,,,10D,,
3.777376099,0.25010803,0.999090516,4.476403198,0.250034958,0.103185171,3.626623535,0.250104195,0.904587116,4.457138672,0.250031447,0.123123835,3.636102905,0.250100928,0.910391806,4.38772522,0.250030747,0.162628989,3.667293091,0.250091431,0.918058923,4.298435669,0.250021331,0.217971485
3.742516479,0.500215817,0.998181033,4.469981689,0.500069611,0.104094388,3.628764038,0.500209029,0.903677644,4.451634521,0.500061676,0.124033036,3.638243408,0.500203134,0.909482343,4.381303711,0.500062508,0.163538196,3.669127808,0.50018409,0.917149495,4.290485229,0.500042663,0.218880654
3.728756104,0.750324496,0.997271547,4.467229614,0.750103148,0.105003601,3.630292969,0.750314259,0.90276817,4.44857666,0.750092616,0.124942239,3.639466553,0.750305208,0.908572881,4.377940063,0.750093935,0.164447401,3.670045166,0.750275784,0.916240071,4.28651001,0.750063994,0.219789822
3.722028809,1.000432445,0.996362064,4.465089111,1.000135528,0.10591281,3.630292969,1.000419123,0.901858698,4.446130371,1.00012319,0.125851441,3.639772339,1.000406897,0.90766342,4.374882202,1.000125575,0.165356607,3.670350952,1.000367804,0.915330645,4.283452148,1.000085325,0.220698991
3.718359375,1.250539836,0.995452582,4.462948608,1.2501687,0.106822021,3.629069824,1.250523825,0.900949226,4.444295654,1.250153866,0.126760644,3.640383911,1.250508089,0.906753961,4.372435913,1.250158351,0.166265817,3.671268311,1.250460635,0.914421217,4.281005859,1.250137095,0.22160827
3.716218872,1.500647704,0.994543099,4.461725464,1.500202704,0.107731236,3.629069824,1.500628923,0.900039753,4.441849365,1.50018437,0.127669845,3.640383911,1.500610457,0.905844498,4.369989624,1.500190031,0.167175023,3.671268311,1.500552198,0.913511793,4.278865356,1.500158426,0.222517438
3.714384155,1.750756403,0.993633613,4.459890747,1.750236231,0.108640449,3.628152466,1.750733747,0.899130281,4.440014648,1.75021604,0.128579051,3.640383911,1.75071315,0.904935034,4.366931763,1.750221681,0.168084229,3.671879883,1.750644035,0.912602368,4.27703064,1.750179757,0.223426607
3.713466797,2.000863794,0.992724132,4.458361816,2.000269768,0.109549662,3.62784668,2.000838469,0.898220809,4.437568359,2.00024701,0.129488255,3.640383911,2.000814606,0.904025574,4.364485474,2.000253067,0.168993434,3.671879883,2.000737383,0.911692938,4.275195923,2.000216308,0.224335831
3.712243652,2.25097154,0.991814649,4.455915527,2.250303406,0.110458875,3.627235107,2.250942887,0.897311339,4.435427856,2.250278132,0.130397459,3.640383911,2.250916112,0.903116114,4.361427612,2.250284565,0.16990264,3.671574097,2.250829332,0.910783513,4.272749634,2.250237639,0.225244999
3.712243652,2.501080037,0.990905164,4.453775024,2.500337339,0.111368089,3.626929321,2.501047772,0.896401866,4.433287354,2.500308625,0.131306661,3.640383911,2.501019211,0.902206648,4.359592896,2.500315048,0.170811841,3.671879883,2.50092196,0.909874085,4.270914917,2.50025897,0.226154168
3.711937866,2.751188645,0.989995678,4.452246094,2.750371586,0.112277305,3.627235107,2.751151764,0.895492397,4.430229492,2.750339159,0.132215863,3.640383911,2.751121569,0.901297185,4.35684082,2.750346495,0.171721047,3.671574097,2.751014,0.908964659,4.2690802,2.750280301,0.227063336
3.711937866,3.001297619,0.98908619,4.449799805,3.000405286,0.113186518,3.626929321,3.001256639,0.894582925,4.427783203,3.000370221,0.133125067,3.640383911,3.00122341,0.900387724,4.353782959,3.000378104,0.172630252,3.671879883,3.001106405,0.908055232,4.26755127,3.000301633,0.227972504
3.711937866,3.251405487,0.988176707,4.447047729,3.250438437,0.11409573,3.627235107,3.251361797,0.893673452,4.424725342,3.250399821,0.134034265,3.640689697,3.25132584,0.899478261,4.350725098,3.250409967,0.173539459,3.671879883,3.251198617,0.907145806,4.26510498,3.250322964,0.228881673
3.711937866,3.501514156,0.987267221,4.444907227,3.500472877,0.115004946,3.627235107,3.501466997,0.892763978,4.42166748,3.500429249,0.134943463,3.640689697,3.501428492,0.898568796,4.347973022,3.500442175,0.174448667,3.671879883,3.501291245,0.906236378,4.26357605,3.500344295,0.229790841
